sub_category_url,product_name,price
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Lindt Teddy alpesi tejcsokoládé 5 x 10 g,1149
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,"Boci tejcsokoládé Mikulás 18,5 g",279
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,KitKat tejcsokoládé Mikulás fahéjas és vaníliaízű búzapehellyel 85 g,999
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Smarties tejcsokoládé tejcsokoládés cukordrazséval 50 g,599
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,"Smarties tejcsokoládé Mikulás tejcsokoládés cukordrazséval 18,7 g",329
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Smarties tejcsokoládé Mikulás tejcsokoládés cukordrazséval 85 g,999
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Lindt tejcsokoládé Mikulás 125 g,1749
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Nicole Choco tejcsokoládé mini figurák tasakban 5 x 15 g (75 g),749
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Nestlé tejcsokoládé Mikulás 17 g,279
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,After Eight mentolízű étcsokoládé Mikulás 85 g,1299
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Balaton tejcsokoládé Mikulás rizspehellyel 45 g,549
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Milka alpesi tej felhasználásával készült tejcsokoládé 45 g,629
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Kinder Mini Friends Caramel minőségi tejcsokoládé figurák tejes krémmel 122 g,1699
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Tesco tejcsokoládé golyó 80 g,799
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Boci tejcsokoládé Mikulás 40 g,549
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,Kinder Mini Mix adventi kalendárium 113 g,2299
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,Paw Patrol tejcsokoládé adventi naptár 50 g,1099
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,Merry Christmas tejcsokoládé 50 g,899
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,Peppa Pig tejcsokoládé adventi naptár 50 g,1099
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,My Little Pony tejcsokoládé adventi naptár 50 g,1099
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,Szerencsi Diabon Adventi Kalendárium tejcsokoládé fruktózzal 50 g,1499
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/adventi-kalendarium?include-children=true,Moo Free tejmentes csokoládé Adventi naptár 70 g,3699
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Kinder Chocolate Mikulás belső tejes réteggel bevont tejcsokoládé figura 110 g,1099
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Kinder Chocolate Mikulás belső tejes réteggel bevont tejcsokoládé figura 55 g,619
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Kinder Chocolate figura kakaóvajas és tejkaramellás bevonattal 110 g,1099
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Kinder tejcsokoládé figura meglepetéssel 75 g,1299
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Lindt Teddy alpesi tejcsokoládé 5 x 10 g,1149
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,"Boci tejcsokoládé Mikulás 18,5 g",279
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,KitKat tejcsokoládé Mikulás fahéjas és vaníliaízű búzapehellyel 85 g,999
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Smarties tejcsokoládé tejcsokoládés cukordrazséval 50 g,599
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,"Smarties tejcsokoládé Mikulás tejcsokoládés cukordrazséval 18,7 g",329
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Smarties tejcsokoládé Mikulás tejcsokoládés cukordrazséval 85 g,999
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Lindt tejcsokoládé Mikulás 125 g,1749
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Nicole Choco tejcsokoládé mini figurák tasakban 5 x 15 g (75 g),749
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Nestlé tejcsokoládé Mikulás 17 g,279
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,After Eight mentolízű étcsokoládé Mikulás 85 g,1299
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Balaton tejcsokoládé Mikulás rizspehellyel 45 g,549
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Milka alpesi tej felhasználásával készült tejcsokoládé 45 g,629
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Kinder Mini Friends Caramel minőségi tejcsokoládé figurák tejes krémmel 122 g,1699
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Tesco tejcsokoládé golyó 80 g,799
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Boci tejcsokoládé Mikulás 40 g,549
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Ferrero Rocher üreges tejcsokoládé figura mogyoródarabkákkal 90 g,1799
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,After Eight Winter Pralinés étcsokoládé mentolos töltelékkel 8 db 65 g,1199
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Lindt Teddy tejcsokoládé figura 100 g,1699
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Merci Mikulás üreges tejcsokoládé figura 120 g,1599
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Tibi Mikulás tejcsokoládé figura 25 g,299
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Lindt Santa Claus alpesi tejcsokoládé 40 g,949
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,KitKat tejcsokoládé Mikulás búzapehellyel 85 g,999
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Szerencsi Zero% Mikulás tejcsokoládé figura édesítőszerrel 18 g,399
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,KitKat tejcsokoládé Mikulás búzapehellyel 17 g,349
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Lindt alpesi tejcsokoládé 70 g,1199
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Mikulás figura kakaós tejbevonómasszából 40 g,209
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Lindt Teddy alpesi tejcsokoládé 40 g,949
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Figaro üreges tejcsokoládé figura 40 g,379
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Milka alpesi tej felhasználásával készült tejcsokoládé 15 g,319
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,KitKat tejcsokoládé Mikulás búzapehellyel 45 g,599
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Tesco tejcsokoládé figura 100 g,1099
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Tesco Finest tejcsokoládé figura 175 g,1699
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Mikulás figura kakaós tejbevonómasszából 60 g,319
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Moo Free tejmentes csokoládés drazsé 35 g,1199
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,"Tesco díszített, üreges fehércsokoládé figura 130 g",1999
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Tibi Mikulás tejcsokoládé figura 100 g,799
https://bevasarlas.tesco.hu/groceries/hu-HU/shop/karacsonyi-keszulodes-mikulas/edessegek/csokolade-figurak?include-children=true,Boci tejcsokoládé Mikulás 65 g,769
